Ins Auto Telemetry Data Record
Record Time: 2026-06-22T19:04:29.579694
============================================================

Trajectory Points: 32
Waypoints: 0

Trajectory Points (x, y, mode, timestamp):
  0.00, 0.00, 4, 1782126260.2982593
  [2026-06-22T19:04:20.438022] I: {'realtime_x': -3.98, 'realtime_y': 0.02, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.488904] I: {'realtime_x': -9.28, 'realtime_y': 0.1, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.608417] I: {'realtime_x': -9.69, 'realtime_y': 0.12, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.663650] I: {'realtime_x': -8.83, 'realtime_y': 0.08, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.722647] I: {'realtime_x': -7.95, 'realtime_y': 0.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.813155] I: {'realtime_x': -7.95, 'realtime_y': 0.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.908146] I: {'realtime_x': -7.94, 'realtime_y': 0.04, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:20.978538] I: {'realtime_x': -7.82, 'realtime_y': 0.04, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.045350] I: {'realtime_x': -7.58, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.165306] I: {'realtime_x': -7.5, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.225025] I: {'realtime_x': -7.5, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.279227] I: {'realtime_x': -7.5, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.411562] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.478083] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.529288] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.604008] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.716891] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.785014] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.844024] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:21.978849] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.028982] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.110039] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.169573] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.280359] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.356187] I: {'realtime_x': -7.49, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.410769] I: {'realtime_x': -7.44, 'realtime_y': 0.02, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.497157] I: {'realtime_x': -7.5, 'realtime_y': 0.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.595157] I: {'realtime_x': -7.76, 'realtime_y': 0.04, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.670546] I: {'realtime_x': -7.81, 'realtime_y': 0.04, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-22T19:04:22.725243] I: {'realtime_x': -7.76, 'realtime_y': 0.04, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
