  [2026-06-23T21:29:07.458070] I: {'ins_mode': 4, 'realtime_x': -6202.69, 'realtime_y': -188.92, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.567818] I: {'ins_mode': 4, 'realtime_x': -6132.92, 'realtime_y': -185.6, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.619747] I: {'ins_mode': 4, 'realtime_x': -6050.93, 'realtime_y': -182.01, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.705165] I: {'ins_mode': 4, 'realtime_x': -5959.37, 'realtime_y': -178.51, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.784633] I: {'ins_mode': 4, 'realtime_x': -5860.57, 'realtime_y': -175.27, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.857297] I: {'ins_mode': 4, 'realtime_x': -5759.57, 'realtime_y': -172.36, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.997168] I: {'ins_mode': 4, 'realtime_x': -5651.25, 'realtime_y': -169.94, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.018442] I: {'ins_mode': 4, 'realtime_x': -5536.9, 'realtime_y': -167.99, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.102092] I: {'ins_mode': 4, 'realtime_x': -5417.42, 'realtime_y': -166.55, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.217874] I: {'ins_mode': 4, 'realtime_x': -5293.68, 'realtime_y': -165.52, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.259255] I: {'ins_mode': 4, 'realtime_x': -5166.51, 'realtime_y': -164.84, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.355912] I: {'ins_mode': 4, 'realtime_x': -5036.8, 'realtime_y': -164.51, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.441836] I: {'ins_mode': 4, 'realtime_x': -4906.91, 'realtime_y': -164.22, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.494882] I: {'ins_mode': 4, 'realtime_x': -4777.54, 'realtime_y': -163.95, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.574166] I: {'ins_mode': 4, 'realtime_x': -4648.48, 'realtime_y': -163.94, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.662884] I: {'ins_mode': 4, 'realtime_x': -4518.91, 'realtime_y': -164.33, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.736772] I: {'ins_mode': 4, 'realtime_x': -4387.97, 'realtime_y': -164.96, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.874219] I: {'ins_mode': 4, 'realtime_x': -4256.24, 'realtime_y': -165.55, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.895208] I: {'ins_mode': 4, 'realtime_x': -4124.39, 'realtime_y': -166.08, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:08.979278] I: {'ins_mode': 4, 'realtime_x': -3994.14, 'realtime_y': -166.84, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.092493] I: {'ins_mode': 4, 'realtime_x': -3866.78, 'realtime_y': -167.76, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.134729] I: {'ins_mode': 4, 'realtime_x': -3741.76, 'realtime_y': -168.88, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.304270] I: {'ins_mode': 4, 'realtime_x': -3618.44, 'realtime_y': -170.34, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.306409] I: {'ins_mode': 4, 'realtime_x': -3496.29, 'realtime_y': -172.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.380273] I: {'ins_mode': 4, 'realtime_x': -3374.34, 'realtime_y': -173.88, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.529986] I: {'ins_mode': 4, 'realtime_x': -3252.35, 'realtime_y': -175.62, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.540847] I: {'ins_mode': 4, 'realtime_x': -3130.36, 'realtime_y': -177.24, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.614488] I: {'ins_mode': 4, 'realtime_x': -3008.21, 'realtime_y': -178.95, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.746994] I: {'ins_mode': 4, 'realtime_x': -2885.49, 'realtime_y': -180.73, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.778438] I: {'ins_mode': 4, 'realtime_x': -2762.22, 'realtime_y': -182.55, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.873830] I: {'ins_mode': 4, 'realtime_x': -2638.86, 'realtime_y': -184.51, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:09.959062] I: {'ins_mode': 4, 'realtime_x': -2515.98, 'realtime_y': -186.38, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.021480] I: {'ins_mode': 4, 'realtime_x': -2393.47, 'realtime_y': -188.13, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.094367] I: {'ins_mode': 4, 'realtime_x': -2271.62, 'realtime_y': -189.66, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.186471] I: {'ins_mode': 4, 'realtime_x': -2150.57, 'realtime_y': -191.01, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.260057] I: {'ins_mode': 4, 'realtime_x': -2030.02, 'realtime_y': -192.49, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.396316] I: {'ins_mode': 4, 'realtime_x': -1909.77, 'realtime_y': -193.97, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
