Ins Auto Telemetry Data Record
Record Time: 2026-06-23T21:30:50.434808
============================================================

Trajectory Points: 0
Waypoints: 0

Trajectory Points (x, y, mode, timestamp):

Waypoints (x, y):

Raw Data Log:
  [2026-06-23T21:29:13.633691] I: {'ins_mode': 4, 'realtime_x': -1182.74, 'realtime_y': -197.66, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.696582] I: {'ins_mode': 4, 'realtime_x': -1174.49, 'realtime_y': -191.6, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.774645] I: {'ins_mode': 4, 'realtime_x': -1170.16, 'realtime_y': -188.13, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.866453] I: {'ins_mode': 4, 'realtime_x': -1170.87, 'realtime_y': -188.75, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.940053] I: {'ins_mode': 4, 'realtime_x': -1180.18, 'realtime_y': -197.01, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:14.079780] I: {'ins_mode': 4, 'realtime_x': -1195.5, 'realtime_y': -211.17, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:14.101435] I: {'ins_mode': 4, 'realtime_x': -1209.59, 'realtime_y': -224.68, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:14.175099] I: {'ins_mode': 4, 'realtime_x': -1220.28, 'realtime_y': -235.01, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:14.295300] I: {'ins_mode': 4, 'realtime_x': -1228.91, 'realtime_y': -243.39, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:14.338099] I: {'ins_mode': 4, 'realtime_x': -1238.64, 'realtime_y': -252.83, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:14.430418] I: {'ins_mode': 4, 'realtime_x': -1248.96, 'realtime_y': -262.9, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
