type,x,y,ins_mode,dis_ins,yaw_ins,n,target,flag_save,comment
I,-3731.7,265.1,0,0.0,0.0,0,1,0,
I,-3749.7,267.1,0,0.0,0.0,0,1,0,
I,-3769.1,269.2,0,0.0,0.0,0,1,0,
I,-3789.0,271.3,0,0.0,0.0,0,1,0,
I,-3808.6,273.3,0,0.0,0.0,0,1,0,
I,-3827.7,275.4,0,0.0,0.0,0,1,0,
I,-3846.2,277.3,0,0.0,0.0,0,1,0,
I,-3863.9,279.0,0,0.0,0.0,0,1,0,
I,-3880.6,280.7,0,0.0,0.0,0,1,0,
I,-3896.2,282.2,0,0.0,0.0,0,1,0,
I,-3911.5,283.8,0,0.0,0.0,0,1,0,
I,-3927.0,285.4,0,0.0,0.0,0,1,0,
I,-3943.1,287.0,0,0.0,0.0,0,1,0,
I,-3960.1,288.8,0,0.0,0.0,0,1,0,
I,-3977.7,290.7,0,0.0,0.0,0,1,0,
I,-3994.8,292.5,0,0.0,0.0,0,1,0,
I,-4011.2,294.0,0,0.0,0.0,0,1,0,
I,-4028.0,295.5,0,0.0,0.0,0,1,0,
I,-4046.2,297.1,0,0.0,0.0,0,1,0,
I,-4065.3,298.8,0,0.0,0.0,0,1,0,
I,-4085.0,300.5,0,0.0,0.0,0,1,0,
I,-4104.9,302.3,0,0.0,0.0,0,1,0,
I,-4125.4,304.2,0,0.0,0.0,0,1,0,
I,-4146.7,306.1,0,0.0,0.0,0,1,0,
I,-4168.6,308.1,0,0.0,0.0,0,1,0,
I,-4190.8,310.0,0,0.0,0.0,0,1,0,
I,-4213.3,312.0,0,0.0,0.0,0,1,0,
I,-4236.0,314.1,0,0.0,0.0,0,1,0,
I,-4259.3,316.1,0,0.0,0.0,0,1,0,
I,-4283.2,318.2,0,0.0,0.0,0,1,0,
I,-4307.5,320.4,0,0.0,0.0,0,1,0,
I,-4332.3,322.6,0,0.0,0.0,0,1,0,
I,-4358.2,324.9,0,0.0,0.0,0,1,0,
I,-4384.8,327.4,0,0.0,0.0,0,1,0,
I,-4412.0,329.8,0,0.0,0.0,0,1,0,
I,-4440.2,332.3,0,0.0,0.0,0,1,0,
I,-4469.4,334.9,0,0.0,0.0,0,1,0,
I,-4499.0,337.6,0,0.0,0.0,0,1,0,
I,-4528.7,340.3,0,0.0,0.0,0,1,0,
I,-4558.9,343.0,0,0.0,0.0,0,1,0,
I,-4589.9,345.9,0,0.0,0.0,0,1,0,
I,-4621.1,348.9,0,0.0,0.0,0,1,0,
I,-4650.9,351.9,0,0.0,0.0,0,1,0,
I,-4678.9,354.7,0,0.0,0.0,0,1,0,
I,-4706.2,357.4,0,0.0,0.0,0,1,0,
I,-4734.0,360.1,0,0.0,0.0,0,1,0,
I,-4763.1,363.0,0,0.0,0.0,0,1,0,
I,-4792.1,366.1,0,0.0,0.0,0,1,0,
I,-4819.8,369.0,0,0.0,0.0,0,1,0,
I,-4846.1,371.6,0,0.0,0.0,0,1,0,
I,-4870.9,374.1,0,0.0,0.0,0,1,0,
I,-4894.8,376.5,0,0.0,0.0,0,1,0,
I,-4917.9,378.8,0,0.0,0.0,0,1,0,
I,-4940.6,381.1,0,0.0,0.0,0,1,0,
I,-4962.9,383.3,0,0.0,0.0,0,1,0,
I,-4984.8,385.5,0,0.0,0.0,0,1,0,
I,-5005.8,387.6,0,0.0,0.0,0,1,0,
I,-5026.2,389.6,0,0.0,0.0,0,1,0,
I,-5046.4,391.6,0,0.0,0.0,0,1,0,
I,-5066.5,393.5,0,0.0,0.0,0,1,0,
I,-5087.8,395.6,0,0.0,0.0,0,1,0,
I,-5110.2,397.7,0,0.0,0.0,0,1,0,
I,-5132.3,400.0,0,0.0,0.0,0,1,0,
I,-5153.0,402.1,0,0.0,0.0,0,1,0,
I,-5172.4,404.1,0,0.0,0.0,0,1,0,
I,-5190.9,405.9,0,0.0,0.0,0,1,0,
I,-5208.6,407.7,0,0.0,0.0,0,1,0,
I,-5225.4,409.3,0,0.0,0.0,0,1,0,
I,-5241.0,410.9,0,0.0,0.0,0,1,0,
I,-5253.9,412.3,0,0.0,0.0,0,1,0,
I,-5263.8,413.4,0,0.0,0.0,0,1,0,
I,-5270.7,414.2,0,0.0,0.0,0,1,0,
I,-5274.6,414.7,0,0.0,0.0,0,1,0,
I,-5275.2,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.0,414.8,0,0.0,0.0,0,1,0,
I,-5275.8,414.9,0,0.0,0.0,0,1,0,
I,-5284.7,415.8,0,0.0,0.0,0,1,0,
I,-5299.3,417.1,0,0.0,0.0,0,1,0,
I,-5314.6,418.6,0,0.0,0.0,0,1,0,
I,-5329.1,419.9,0,0.0,0.0,0,1,0,
I,-5341.6,420.9,0,0.0,0.0,0,1,0,
I,-5351.6,421.8,0,0.0,0.0,0,1,0,
I,-5359.6,422.6,0,0.0,0.0,0,1,0,
I,-5368.7,423.6,0,0.0,0.0,0,1,0,
I,-5380.3,425.1,0,0.0,0.0,0,1,0,
I,-5395.0,427.1,0,0.0,0.0,0,1,0,
I,-5412.0,429.5,0,0.0,0.0,0,1,0,
I,-5430.0,432.1,0,0.0,0.0,0,1,0,
I,-5447.5,434.6,0,0.0,0.0,0,1,0,
I,-5464.4,437.2,0,0.0,0.0,0,1,0,
I,-5482.5,440.0,0,0.0,0.0,0,1,0,
I,-5501.3,443.0,0,0.0,0.0,0,1,0,
I,-5519.7,445.9,0,0.0,0.0,0,1,0,
I,-5537.4,448.7,0,0.0,0.0,0,1,0,
